state_ab,prop_boosted,mandate_type,prop_vacc_center
ak,0.264885625438699,ban,0.106808908238939
al,0.199913180605276,ban,0.109831059336507
ar,0.232185845975743,ban,0.122458948718251
az,0.193621416220956,ban,0.125264649505192
ca,0.189558227098331,mandate,0.141312914844166
co,0.248039341595977,mandate,0.140389931279643
ct,0.203891469930396,mandate,0.159821240544425
de,0.205178127429555,mandate,0.133948577258154
fl,0.211463804765382,ban,0.15043481488934
ga,0.183832405044245,ban,0.12194416782375
ia,0.249712286082423,ban,0.120953124916125
id,0.258016302831354,ban,0.0863287185148383
il,0.233802955590856,mandate,0.154963578919886
in,0.21198920484651,ban,0.116283402264896
ks,0.202532365085509,ban,0.120238828205555
ma,0.189732992593763,mandate,0.151714758182699
md,0.225424509566439,mandate,0.14668242389127
mi,0.234710379389546,ban,0.115200900215391
mn,0.264973410603341,mandate,0.137798504241367
mo,0.222728393867816,ban,0.118973212122469
mt,0.270857700634153,ban,0.109822074375689
nc,0.139593638923531,mandate,0.12544403926214
nd,0.241255895244533,ban,0.0972212226548304
nh,0.0418283790058727,ban,0.141774283796598
nj,0.184157429922764,mandate,0.144872814937747
nm,0.237543233199957,mandate,0.126193767893495
nv,0.177947808466044,mandate,0.124555408716569
ny,0.120921144276235,mandate,0.151185333434713
ok,0.214912640845689,ban,0.119114308713395
or,0.235008946871441,mandate,0.149923841215362
pa,0.133323503431699,mandate,0.145947305678043
sc,0.227155258411801,ban,0.122807590529985
sd,0.208585239525925,ban,0.10604905829478
tn,0.252932537269748,ban,0.117749669527808
tx,0.196704391620209,ban,0.129135502575529
ut,0.193762375084524,ban,0.129871036640613
va,0.220234202098124,mandate,0.143571417758546
vt,0.305072318497593,mandate,0.148125090136922
wa,0.217647507586411,mandate,0.141594598650777
wi,0.252432809605105,mandate,0.128477483885249
wy,0.262199678022313,ban,0.0970339414503136
ak,0.304449356853552,ban,0.112014278128358
al,0.235730876891475,ban,0.113396233279163
ar,0.268948116296972,ban,0.125617102909567
az,0.227973388782674,ban,0.129395510007344
