id,group,passive_count,word_count,I_liwc,I_c,wc_c
hzx393,dep,1,67,5,-11.4937859608746,-103.235903337169
hzx265,dep,1,126,23,6.50621403912543,-44.2359033371692
hzx1c8,dep,0,149,14,-2.49378596087457,-21.2359033371692
hzx0be,dep,1,74,4,-12.4937859608746,-96.2359033371692
hzwyua,dep,1,56,5,-11.4937859608746,-114.235903337169
hzwyoo,dep,1,197,27,10.5062140391254,26.7640966628308
hzwv5l,dep,1,29,0,-16.4937859608746,-141.235903337169
hzwrj8,dep,0,156,25,8.50621403912543,-14.2359033371692
hzwrg6,dep,2,703,74,57.5062140391254,532.764096662831
hzwozy,dep,1,57,7,-9.49378596087457,-113.235903337169
hzwksq,dep,0,42,8,-8.49378596087457,-128.235903337169
hzwk9w,dep,1,168,25,8.50621403912543,-2.23590333716916
hzwh48,dep,1,105,13,-3.49378596087457,-65.2359033371692
hzwfif,dep,1,124,10,-6.49378596087457,-46.2359033371692
hzwfi1,dep,0,26,3,-13.4937859608746,-144.235903337169
hzwenh,dep,1,45,8,-8.49378596087457,-125.235903337169
hzweg1,dep,2,280,44,27.5062140391254,109.764096662831
hzwe58,dep,3,258,36,19.5062140391254,87.7640966628309
hzwata,dep,0,155,17,0.506214039125432,-15.2359033371692
hzw5es,dep,2,100,19,2.50621403912543,-70.2359033371692
hzw508,dep,2,114,16,-0.493785960874568,-56.2359033371692
hzw48l,dep,0,85,9,-7.49378596087457,-85.2359033371692
hzw30n,dep,2,96,13,-3.49378596087457,-74.2359033371692
hzw19s,dep,0,120,9,-7.49378596087457,-50.2359033371692
hzvypk,dep,11,282,22,5.50621403912543,111.764096662831
hzvx8a,dep,0,74,8,-8.49378596087457,-96.2359033371692
hzvvpr,dep,0,56,6,-10.4937859608746,-114.235903337169
hzvtj0,dep,1,373,38,21.5062140391254,202.764096662831
hzvrsz,dep,2,272,38,21.5062140391254,101.764096662831
hzvrc2,dep,6,986,114,97.5062140391254,815.764096662831
hzvq34,dep,0,83,2,-14.4937859608746,-87.2359033371692
hzvpc9,dep,0,30,3,-13.4937859608746,-140.235903337169
hzvo1i,dep,1,125,18,1.50621403912543,-45.2359033371692
hzvnng,dep,0,86,9,-7.49378596087457,-84.2359033371692
hzvjlk,dep,0,57,8,-8.49378596087457,-113.235903337169
hzviyu,dep,4,223,28,11.5062140391254,52.7640966628308
hzvigk,dep,1,85,0,-16.4937859608746,-85.2359033371692
hzvie7,dep,6,441,40,23.5062140391254,270.764096662831
hzvftt,dep,0,59,6,-10.4937859608746,-111.235903337169
hzvff6,dep,0,38,6,-10.4937859608746,-132.235903337169
hzvd3e,dep,2,359,42,25.5062140391254,188.764096662831
hzvd2h,dep,1,272,38,21.5062140391254,101.764096662831
hzvarm,dep,2,230,24,7.50621403912543,59.7640966628308
hzvana,dep,0,96,16,-0.493785960874568,-74.2359033371692
hzvajh,dep,0,8,0,-16.4937859608746,-162.235903337169
hzv9b3,dep,0,38,7,-9.49378596087457,-132.235903337169
hzv8q6,dep,4,686,78,61.5062140391254,515.764096662831
hzv3qi,dep,0,39,4,-12.4937859608746,-131.235903337169
hzv1vr,dep,1,174,27,10.5062140391254,3.76409666283084
